Neighbourhood,Venue,Venue Latitude,Venue Longitude,Venue Category
Blankenfelde,Botanischer Volkspark Pankow,52.605732036233135,13.395380973815918,Botanical Garden
Blankenfelde,Café mint*,52.60394417183976,13.39722712219637,Café
Blankenfelde,Café Traktorista,52.617838,13.392783,Café
Blankenfelde,Steckenpferd Blankenfelde,52.619083343767436,13.39372104546006,Café
Blankenfelde,Wintec Autoglas - Detlef Lindner,52.6195945,13.3949784,Automotive Shop
Blankenfelde,Blankenfelder Hofladen,52.61913254005237,13.392484188079834,Farmers Market
Helmholtzplatz,Goldhahn & Sampson,52.54219963187534,13.420430615306818,Gourmet Shop
Helmholtzplatz,Kajumi,52.544094,13.421894,Coffee Shop
Helmholtzplatz,Salt n Bone,52.54404686487403,13.42010231458886,Gastropub
Helmholtzplatz,Victoria met Albert,52.54275011124199,13.420867785230792,Boutique
Helmholtzplatz,häppies,52.541465603578764,13.419871504217673,Dumpling Restaurant
Helmholtzplatz,Pakolat,52.54381372971663,13.416153352998345,Coffee Shop
Helmholtzplatz,Bekarei,52.54435463910769,13.422632217407227,Bakery
Helmholtzplatz,Wohnzimmer,52.543396390064636,13.419287620066626,Café
Helmholtzplatz,Ushido,52.54230345760376,13.416069667398542,Japanese Restaurant
Helmholtzplatz,Sophak Thai Massage,52.543561918676424,13.41491217809899,Massage Studio
Helmholtzplatz,Zia Maria,52.54595611949305,13.41762881944121,Pizza Place
Helmholtzplatz,Hum vegan cuisine,52.54365117699298,13.41649562512907,Vietnamese Restaurant
Helmholtzplatz,Fräulein Dickes,52.545261669938675,13.421142883356502,Café
Helmholtzplatz,Hokey Pokey,52.54676547402726,13.417608402042815,Ice Cream Shop
Helmholtzplatz,Helmholtzplatz,52.54308556459545,13.418769836425781,Plaza
Helmholtzplatz,Pastificio Tosatti,52.5435,13.419621,Italian Restaurant
Helmholtzplatz,BRÄUGIER BrewPub,52.54215282039202,13.423850798790227,Beer Bar
Helmholtzplatz,Signore Batistin,52.546101,13.418705,Deli / Bodega
Helmholtzplatz,La Käserie,52.541523533430656,13.415084461337107,Cheese Shop
Helmholtzplatz,höschen,52.542260157110334,13.420776128768921,Bar
Helmholtzplatz,Supalife Kiosk,52.54383307038778,13.416111208205077,Art Gallery
Helmholtzplatz,Sasaya,52.544309738166525,13.418225103137415,Japanese Restaurant
Helmholtzplatz,kalaa yoga,52.54453418887381,13.417488524190679,Yoga Studio
Helmholtzplatz,Café Liebling,52.54209866252614,13.420647382736206,Café
Helmholtzplatz,Suzette,52.543356818522035,13.414827973512976,Creperie
Helmholtzplatz,Maria Bonita,52.540366,13.418131,Mexican Restaurant
Helmholtzplatz,Bierlinie,52.54088497927016,13.416760615897996,Beer Store
